CHROM,pi,pf,lp,gpi,gpf,lgp,nSNP,label,Genotype
Chr08,45500,1034228,988728,-0.020502441155040737,3.975956990879216,3.9964594320342566,250,1.0,GCDT_006
Chr03,37685567,43689489,6003922,49.52829826815909,64.8776886165194,15.349390348360302,200,1.0,GCDT_051
Chr07,6772625,9330384,2557759,35.935315851943,38.59925202839608,2.6639361764530776,50,1.0,GCDT_210
Chr07,33053173,34301846,1248673,68.62110831675565,68.62110831675565,0.0,30,1.0,GCDT_210
Chr07,24336737,29104517,4767780,56.93402487518752,58.699278679611226,1.7652538044237076,40,1.0,GCDT_210
Chr07,39361190,40010892,649702,91.76153541114971,92.48644977289766,0.724914361747949,40,1.0,GCDT_295
Chr08,62553050,62952455,399405,94.84716832912477,96.76538810449264,1.9182197753678736,50,1.0,GCDT_295
Chr06,25419861,28226266,2806405,41.27728863418981,45.33113765940397,4.053849025214163,60,1.0,GCDT_121
Chr01,47003275,51397374,4394099,55.15281901549874,76.84426505161238,21.69144603611364,1520,1.0,GCDT_262
Chr08,45500,179027,133527,-0.015342927279615313,0.02248170354479146,0.03782463082440678,40,1.0,GCDT_262
Chr08,50964,1830595,1779631,-0.01832000415469255,9.935920148914807,9.954240153069499,340,1.0,GCDT_264
Chr01,50356105,51336691,980586,66.84769609434842,76.77119912184747,9.923503027499052,180,1.0,GCDT_205
Chr08,50964,1581560,1530596,0.02195731797045456,7.178738973117379,7.156781655146924,120,1.0,GCDT_205
Chr06,26022890,31175715,5152825,48.80523420970405,65.70472631495015,16.899492105246104,280,1.0,GCDT_026
Chr08,172711,2119108,1946397,2.0338105089833896,11.294405417883219,9.26059490889983,70,1.0,GCDT_026
Chr03,50904558,53238789,2334231,85.744713224802,97.44984479646584,11.705131571663841,180,1.0,GCDT_293
Chr05,33982,1564019,1530037,0.001281272603846444,8.607046361810106,8.60576508920626,380,1.0,GCDT_293
Chr03,51773514,53146523,1373009,92.10345672675615,96.58532266440793,4.481865937651776,60,1.0,GCDT_127
Chr05,19489841,36126121,16636280,40.44668490351447,42.126565971450894,1.679881067936421,30,1.0,GCDT_127
Chr08,511601,1509268,997667,1.301012740293811,6.441290147553276,5.140277407259465,70,1.0,GCDT_127
Chr08,11941618,14423917,2482299,37.154552661961276,37.154552661961276,0.0,30,1.0,GCDT_127
Chr01,49302097,51408427,2106330,61.5979133377312,76.91543216249941,15.317518824768214,570,1.0,GCDT_169
Chr08,55851603,62968352,7116749,64.02526322446347,97.58754154991017,33.5622783254467,1810,1.0,GCDT_300
Chr08,53137207,53537773,400566,56.70094937508625,58.260606227845756,1.5596568527595025,100,1.0,GCDT_300
Chr03,49404514,51928168,2523654,82.30337368263385,90.14703831917696,7.84366463654311,70,1.0,GCDT_048
Chr03,52554861,53065168,510307,96.0358684738646,96.0358684738646,0.0,10,1.0,GCDT_048
Chr08,17353322,60075351,42722029,43.201590937992336,75.01922363578744,31.817632697795105,940,1.0,GCDT_048
Chr10,4652270,5298841,646571,6.441322793984902,7.302913820077374,0.861591026092472,30,1.0,GCDT_048
Chr10,303334,748648,445314,0.09684907354294968,0.19936147576202007,0.10251240221907039,30,1.0,GCDT_048
Chr10,8239819,37112722,28872903,12.97803957527482,21.348374238028487,8.370334662753667,450,1.0,GCDT_048
Chr01,22587,811024,788437,0.08828840920586034,6.808885874766839,6.720597465560978,160,1.0,GCDT_235
Chr03,31416,43647166,43615750,0.15034757854421466,65.16724368466933,65.01689610612512,2520,1.0,GCDT_235
Chr08,76117,1819632,1743515,0.032980700801107536,8.993244319513876,8.960263618712768,120,1.0,GCDT_235
Chr07,39730864,40017631,286767,91.8442452502668,92.42687919403765,0.5826339437708583,50,1.0,GCDT_136
Chr01,50615519,51324859,709340,70.83312381521947,75.11456180662012,4.281437991400651,70,1.0,GCDT_165
Chr01,2567548,44302686,41735138,20.82270175976688,47.6892126397249,26.86651087995802,2100,1.0,GCDT_282
Chr01,50210212,51406545,1196333,65.50607457967065,76.91195086525335,11.405876285582693,380,1.0,GCDT_257
Chr10,263850,36675733,36411883,0.0245629314543848,21.292286741656447,21.267723810202064,1550,1.0,GCDT_257
Chr06,25654714,27656362,2001648,41.594333725585976,44.193874823752296,2.59954109816632,40,1.0,GCDT_258
Chr04,55633,6939426,6883793,0.7135107414720311,30.066409973809066,29.352899232337034,360,1.0,GCDT_105
Chr04,47437182,47752013,314831,75.76024733115902,76.90844738330095,1.1482000521419309,30,1.0,GCDT_105
Chr05,33982,1452089,1418107,0.001281272603846444,8.390345587174588,8.389064314570742,350,1.0,GCDT_105
Chr09,25267979,36859894,11591915,28.496111268018872,52.733449490542135,24.237338222523263,1030,1.0,GCDT_105
Chr09,38200239,38234676,34437,60.93954317493062,60.95930886620737,0.01976569127675276,20,1.0,GCDT_105
Chr03,50904547,53238743,2334196,85.63352121537146,97.43566281506763,11.80214159969617,160,1.0,GCDT_255
Chr06,25731610,27603231,1871621,42.019732253002466,44.02183869281352,2.002106439811051,40,1.0,GCDT_177
Chr04,26571661,41740374,15168713,42.63654214726135,42.63654214726135,0.0,20,1.0,GCDT_261
Chr04,5895545,7512908,1617363,30.808141757436534,30.808141757436534,0.0,20,1.0,GCDT_261
Chr08,51312,1830497,1779185,-0.011814658292260605,9.81193137898167,9.823746037273931,220,1.0,GCDT_261
Chr08,55927839,62500180,6572341,64.16188089288013,92.61922253778276,28.457341644902627,1350,1.0,GCDT_261
Chr08,53136915,53557319,420404,56.6694611397689,58.23697872715577,1.5675175873868739,90,1.0,GCDT_261
Chr07,38158128,40011072,1852944,89.99239937963131,92.45666754817958,2.464268168548273,70,1.0,GCDT_301
Chr07,14282,3374670,3360388,0.6176151053432839,23.2526431477288,22.635028042385517,480,1.0,GCDT_301
Chr03,49492839,50662337,1169498,80.60622204310036,82.82556977905361,2.2193477359532494,30,1.0,GCDT_075
Chr06,137723,15381150,15243427,0.03951480915121379,8.053349984899588,8.013835175748374,310,1.0,GCDT_075
Chr03,3952594,43815461,39862867,18.73284846770462,65.6062174484093,46.873368980704676,5690,1.0,GCDT_060
Chr04,78429,2167192,2088763,0.8381002793221384,9.232970921804313,8.394870642482175,110,1.0,GCDT_060
Chr04,2767754,4410164,1642410,16.965775544814946,22.599517943760205,5.633742398945259,130,1.0,GCDT_060
Chr06,27223202,31208346,3985144,52.56275079252144,65.8885993705427,13.325848578021265,430,1.0,GCDT_009
Chr07,19650,2893074,2873424,3.13255758886844,20.563627191300725,17.431069602432284,100,1.0,GCDT_278
Chr08,55851685,62906969,7055284,64.38403998988693,96.65022905533392,32.266189065446994,400,1.0,GCDT_278
Chr08,53018219,54004866,986647,57.35130937524997,58.13789899867268,0.7865896234227137,30,1.0,GCDT_278
Chr01,50361203,51397350,1036147,66.45068374337771,76.83376782226526,10.38308407888755,270,1.0,GCDT_208
Chr03,24251193,43724817,19473624,37.25296223490496,65.46341417151493,28.210451936609964,1880,1.0,GCDT_208
Chr03,52417261,53272682,855421,94.77069654050597,97.45166865479237,2.680972114286405,60,1.0,GCDT_208
Chr08,45500,1830497,1784997,-0.013750375248515405,9.704312848141704,9.718063223390219,270,1.0,GCDT_208
Chr10,303220,37108153,36804933,0.05022055162368333,21.432079732995764,21.38185918137208,1440,1.0,GCDT_208
Chr06,25465607,28226219,2760612,41.13003573676564,44.07963063388291,2.949594897117265,50,1.0,GCDT_238
Chr01,49329790,51399704,2069914,61.5865699645928,76.87616385107613,15.289593886483331,700,1.0,GCDT_166
Chr10,263850,37108153,36844303,0.028604315783423345,21.432079732995764,21.40347541721234,1500,1.0,GCDT_166
Chr08,1034214,1830497,796283,4.913233816214168,9.896197171263438,4.98296335504927,120,1.0,GCDT_124
Chr06,26045152,27223210,1178058,43.42598364132129,43.836034028614385,0.4100503872930972,30,1.0,GCDT_111
Chr08,51312,2006317,1955005,-0.004730094797653446,10.27768140382364,10.282411498621293,290,1.0,GCDT_260
Chr08,11524391,13361263,1836872,36.6159180928901,36.91145119781217,0.29553310492207174,40,1.0,GCDT_260
Chr04,2777267,4238468,1461201,17.163370011724837,21.691946263417936,4.528576251693099,50,1.0,GCDT_082
Chr04,448921,1562627,1113706,3.7161226465931696,3.7161226465931696,0.0,20,1.0,GCDT_082
Chr04,2191007,2333343,142336,11.026702416810458,11.026702416810458,0.0,20,1.0,GCDT_082
