CHROM	n	nSNP	p0	p1	Md_p	GENPOS	POS	pi	pf	pr1	pr2
Chr01	0	210	0	220	110.0	3.426007133541342	429474.84285714285	62054	863994	0.9513875603557471	0.04861243964425282
Chr01	1	210	10	230	120.0	3.807085898631964	469256.17619047617	86316	923997	0.948212957181144	0.05178704281885599
Chr01	2	200	20	230	125.0	3.9913928943100063	487974.78	107708	923997	0.9456236050402012	0.05437639495979879
Chr01	3	230	30	270	150.0	4.965580757114909	589199.0086956521	148246	1046588	0.9509287376388226	0.04907126236117747
Chr01	4	240	40	290	165.0	5.509783127063786	651106.0958333333	167503	1193877	0.957329434589822	0.04267056541017792
Chr01	5	300	50	360	205.0	7.010640059485892	825110.7233333334	212599	1500047	0.966252525391368	0.033747474608632054
Chr01	6	300	60	370	215.0	7.411882578751426	869244.2666666667	213720	1594659	0.9666565654648298	0.033343434535170226
Chr01	7	290	70	370	220.0	7.587040983162839	886666.4034482759	388166	1594659	0.9655067918601687	0.03449320813983127
Chr01	8	280	80	370	225.0	7.769333670058761	904355.3892857142	392689	1594659	0.9642748915694604	0.035725108430539526
Chr01	9	270	90	370	230.0	7.96290125460882	923064.3222222222	408103	1594659	0.9629517394053664	0.037048260594633585
Chr01	10	270	100	380	240.0	8.368550603076956	966732.137037037	446218	1627186	0.9617171715041319	0.03828282849586814
Chr01	11	260	110	380	245.0	8.566741370147549	986613.1192307692	459237	1627186	0.9602447550235216	0.03975524497647846
Chr01	12	250	120	380	250.0	8.761468424890253	1007151.296	483170	1627186	0.9586545452244624	0.041345454775537596
Chr01	13	410	130	550	340.0	12.003004378865404	1405868.4414634146	507789	2299210	0.973163339998656	0.026836660001343948
Chr01	14	400	140	550	345.0	12.195907964294092	1428317.9725	526038	2299210	0.9733257568319558	0.02667424316804421
Chr01	15	390	150	550	350.0	12.394349986400863	1451421.3333333333	537665	2299210	0.9726418018789289	0.027358198121070987
